domain,category
haffmansneumeister.com,Herstellung von sonstigen Erzeugnissen a. n. g.
bechtel-szilagyi.de,"Gewinnung von Kies, Sand, Ton und Kaolin"
art-caffe.de,"Großhandel mit Kaffee, Tee, Kakao und Gewürzen"
diemetallbauer.de,Mechanik a. n. g.
gertler-estates.com,"Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
procura-finanz.com,Sonstige mit Finanzdienstleistungen verbundene Tätigkeiten
intermarkt-thielen.de,"Großhandel mit Obst, Gemüse und Kartoffeln"
bbt-transaction.net,"Sonstige freiberufliche, wissenschaftliche und technische Tätigkeiten a. n. g."
pudel.com,Diskotheken und Tanzlokale
schilling-autohaus.de,"Handel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger"
alutec.de,Einzelhandel mit Kraftwagenteilen und -zubehör
emschergrund.com,Verwaltung von Gewerbegrundstücken und Nichtwohngebäuden für Dritte
mevega.de,Oberflächenveredlung und Wärmebehandlung
weyand-gmbh.com,Erbringung von anderen wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen a. n. g.
breier.info,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
saferadon.de,Unternehmensberatung
immocontec.de,Bauträger für Wohngebäude
lctax.de,"Praxen von Wirtschaftsprüferinnen und -prüfern, Wirtschaftsprüfungsgesellschaften"
lars-buntrock.de,Allgemeine Gebäudereinigung
m-s-i.de,Sammlung nicht gefährlicher Abfälle
pctutorit.de,Sonstige Softwareentwicklung
autohaus-schuerer-diessen.de,"Handel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger"
ibs-engels.de,Erbringung von sonstigen Dienstleistungen a. n. g.
tapetenhalle.de,"Einzelhandel mit Vorhängen, Teppichen, Fußbodenbelägen und Tapeten"
reiplinger.com,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
maeker-gmbh.de,Verwaltung von Gewerbegrundstücken und Nichtwohngebäuden für Dritte
colormatch.org,Drucken a. n. g.
jimdosite.com,Herstellung von Metallkonstruktionen
gmd-architekten.com,Architekturbüros für Hochbau
spinnerei.de,"Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
parisozial-soest.de,Sonstiges Sozialwesen a. n. g.
bautec-pm.de,Baugewerbe a. n. g.
haus-im-park.net,Pflegeheime
bayernprojekt.de,Bauträger für Wohngebäude
wsg-online.com,Sonstige selbstständige Tätigkeiten im Gesundheitswesen
sysmex.de,Herstellung von pharmazeutischen Spezialitäten und sonstigen pharmazeutischen Erzeugnissen
firma-stolz.de,Verwaltung von Gewerbegrundstücken und Nichtwohngebäuden für Dritte
ersrail.com,Erbringung von Dienstleistungen für den Verkehr a. n. g.
jhg-grund.de,"Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
gruental-reisen.de,Reiseveranstalter
stadler-abbruch-gmbh.de,Vorbereitende Baustellenarbeiten
treuhandsozietaet.de,"Praxen von Wirtschaftsprüferinnen und -prüfern, Wirtschaftsprüfungsgesellschaften"
grund-lehrte.de,Personenbeförderung im Omnibus-Gelegenheitsverkehr
riebesell.org,"Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
heizung-kamine.de,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
deekeling-arndt.com,Public-Relations-Beratung
altlasten-planung.de,Ingenieurbüros für bautechnische Gesamtplanung
iputec.de,Herstellung von sonstigen Erzeugnissen a. n. g.
jup-arc.com,Architekturbüros für Hochbau
baustoffmann.de,"Einzelhandel mit Anstrichmitteln, Bau- und Heimwerkerbedarf"
vollrathwasmuth.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
kozica.de,Reisebüros
elsi-tec.de,Elektroinstallation
biovegan.de,Herstellung von Backwaren (ohne Dauerbackwaren)
wiko-gmbh.de,Herstellung von Metallkonstruktionen
amd-analysis.com,Ingenieurbüros für technische Fachplanung und Ingenieurdesign
aktiv-sport-fitness.de,Fitnesszentren
gerards-gourmets.de,Großhandel mit Getränken
koch-industrieboeden.de,"Fußboden-, Fliesen- und Plattenlegerei, Tapeziererei"
palmira-capital.com,Unternehmensberatung
unikat-versicherungsmakler.de,Tätigkeit von Versicherungsmaklerinnen und -maklern
tws-technologies.de,"Großhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software"
wefinance.de,Rechtsanwaltskanzleien ohne Notariat
centrum-group.de,Treuhand- und sonstige Fonds und ähnliche Finanzinstitutionen
wiewel.eu,Sonstiger Einzelhandel mit Nahrungs- und Genussmitteln
iprea.de,"Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
krankenhaus-waldfriede.de,"Krankenhäuser (ohne Hochschulkliniken, Vorsorge- und Rehabilitationskliniken)"
steuerbuero-juergens.de,"Praxen von Steuerbevollmächtigten, Steuerberaterinnen und -beratern, Steuerberatungsgesellschaften"
wka-etr.de,Elektrizitätserzeugung ohne Verteilung
misterlinse.de,Sonstiger Versand- und Internet-Einzelhandel
emdequity.de,Unternehmensberatung
gutsweine.de,Großhandel mit Getränken
hgm-energy.com,Großhandel mit Mineralölerzeugnissen
basketball-loewen.de,Sportvereine
jobpiraten.com,Sonstige Softwareentwicklung
spedition-siebel.de,Güterbeförderung im Straßenverkehr
lufthansa-city-center.com,Reisebüros
andreasscherff.de,Tätigkeit von Versicherungsmaklerinnen und -maklern
maierwalzen.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
hs-apparatetechnik.de,Ingenieurbüros für technische Fachplanung und Ingenieurdesign
heysterman-akademie.de,Berufsbildende weiterführende Schulen
cs-zwiesel.de,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
hasselmann-wietze.de,"Handel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger"
zahntechnik-rw.de,Zahnarztpraxen
flyacts.com,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
progressive-mv.de,Verlegen von Musikalien
spielplatzgeraete-maier.com,Herstellung von Sportgeräten
goebel-technik.de,Erbringung von sonstigen Dienstleistungen a. n. g.
mittelblond-kulturkneipe.de,Erbringung von anderen wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen a. n. g.
ah-primm.de,Lackieren von Kraftwagen
dhd.audio,Sonstige Softwareentwicklung
ad-ist-gmbh.com,Private Wach- und Sicherheitsdienste
iwn-verlag.de,Verlegen von Büchern
e-biss.de,Elektroinstallation
ing-hufnagel-hh.de,Sonstige Ingenieurbüros
oetinger-reinigungssysteme.de,Großhandel mit sonstigen Maschinen
autowaschcenterimweidig.de,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
iim.de,"Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
goepotec.de,Elektroinstallation
stahlservice-jansen.de,Herstellung von Metallkonstruktionen
hertel-weichert.de,"Handel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger"
kfa-hamburg.de,Architekturbüros für Hochbau
don-bau.com,Bau von Gebäuden (ohne Fertigteilbau)
flexikon-gmbh.de,"Herstellung von Press-, Zieh- und Stanzteilen"
mitteldeutsches-institut.de,Berufsbildende weiterführende Schulen
cobus-gmbh.de,Bauträger für Wohngebäude
ktp-generalplaner.de,Architekturbüros für Hochbau
fekana.de,Wirtschafts- und Arbeitgeberverbände
leder-hofmann.de,Großhandel mit Textilien
beka-gmbh.com,Herstellung von Metallkonstruktionen
wne-holding.de,Elektrizitätserzeugung mit Fremdbezug zur Verteilung
oemeta.com,Großhandel mit Mineralölerzeugnissen
nothwang.com,Fleischverarbeitung
fliesen-wagner.de,"Fußboden-, Fliesen- und Plattenlegerei, Tapeziererei"
party-people.net,Erbringung von anderen wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen a. n. g.
malte-bauunternehmen.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
leuckartpartners.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
anlauff-naturstein.de,Be- und Verarbeitung von Naturwerksteinen und Natursteinen a. n. g.
avanzagruppe.de,"Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
naturenergieregiongifhorn.de,Elektrizitätserzeugung ohne Fremdbezug zur Verteilung
smeetsdental.de,Zahnarztpraxen
henzler.de,Unternehmensberatung
buerger-energie-oberharmersbach.de,Elektrizitätserzeugung ohne Verteilung
energy-support.de,Großhandel mit sonstigen Ausrüstungen und Zubehör für Maschinen sowie mit technischem Bedarf
dccargo.de,Güterbeförderung im Straßenverkehr
grossmann-stange.de,Allgemeine Gebäudereinigung
rmi-center.de,"Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
hamo-ug.de,Güterbeförderung im Straßenverkehr
rma-ev.org,Abbrucharbeiten
iqone.de,Sonstige Softwareentwicklung
hephata-mg.de,Beteiligungsgesellschaften
motus-sitzmoebel.de,Einzelhandel mit Wohnmöbeln
herbafood.de,Herstellung von sonstigen Nahrungsmitteln a. n. g.
bender-goettmann.de,"Instandhaltung und Reparatur von Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger (ohne Lackierung und Autowäsche)"
ta-c.de,"Praxen von Steuerbevollmächtigten, Steuerberaterinnen und -beratern, Steuerberatungsgesellschaften"
autoglas-spezialist.com,"Instandhaltung und Reparatur von Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger (ohne Lackierung und Autowäsche)"
auto-bachmair.de,"Handel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger"
schenk-klein.de,"Herstellung von sonstigen Konstruktionsteilen, Fertigbauteilen, Ausbauelementen und Fertigteilbauten aus Holz"
asta-holzwerk.de,"Säge-, Hobel- und Holzimprägnierwerke"
kernandfriends.de,Unternehmensberatung
irmeco.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
jw-holding.de,Herstellung von sonstigen Erzeugnissen a. n. g.
fahnenbruck.de,Einzelhandel mit Wohnmöbeln
phobyx.com,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
opture.com,Unternehmensberatung
edeka-niebur.de,"Einzelhandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren, ohne ausgeprägten Schwerpunkt"
bsb-software.de,Sonstige Softwareentwicklung
schumann-ak.de,"Herstellung von sonstigen Konstruktionsteilen, Fertigbauteilen, Ausbauelementen und Fertigteilbauten aus Holz"
hofbergmuehle.de,Ferienhäuser und Ferienwohnungen
hotel-residenz-babenhausen.de,Hotels (ohne Hotels garnis)
dm-carservice.de,"Instandhaltung und Reparatur von Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger (ohne Lackierung und Autowäsche)"
thinkhalle.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
d-c-l.de,Sonstige Softwareentwicklung
hk-acryldesign.de,Herstellung von sonstigen Kunststoffwaren
albealliance.de,Spedition
iso-gruppe.com,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
sprute.com,Sonstige Softwareentwicklung
sven-kleinwaechter.de,Sonstige Softwareentwicklung
rt-filter.de,Großhandel mit sonstigen Maschinen
diarec.de,Großhandel mit Werkzeugen und Kleineisenwaren
nwsg.de,Private Wach- und Sicherheitsdienste
leserattenservice.de,Verlegen von Büchern
online-sachsen.de,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
e-s-energie-service.de,Interessenvertretungen und Vereinigungen a. n. g.
kannt.com,Unternehmensberatung
dr-kraeusslein.de,"Praxen von Steuerbevollmächtigten, Steuerberaterinnen und -beratern, Steuerberatungsgesellschaften"
austrocknungen.de,Baugewerbe a. n. g.
gemeindezeitung.de,Verlegen von Zeitschriften
azemi-bau.de,Bau von Gebäuden (ohne Fertigteilbau)
bestpark.de,Betrieb von Parkhäusern und Parkplätzen
bluhm-plate.de,Großhandel mit Flachglas
rath-fensterbau.de,"Herstellung von sonstigen Konstruktionsteilen, Fertigbauteilen, Ausbauelementen und Fertigteilbauten aus Holz"
proaquaris.de,Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.
wiesheu.de,Managementtätigkeiten von Holdinggesellschaften
gaestehaus-uni.de,"Vermietung, Verpachtung von eigenen oder geleasten Wohngrundstücken, Wohngebäuden und Wohnungen"
rb-messwerkzeuge.com,Großhandel mit Werkzeugen und Kleineisenwaren
aufzugsdienst.de,Sonstige Bauinstallation a. n. g.
pta-technology.com,Herstellung von medizintechnischen Apparaten und Materialien a. n. g.
mitec-middeldorf.de,Herstellung von sonstigen Erzeugnissen a. n. g.
redelbach-bau.de,Bau von Gebäuden (ohne Fertigteilbau)
aventa.gmbh,Großhandel mit sonstigen Maschinen
elmer-immobilien.de,"Verwaltung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
hp-massivhaus.de,Bauträger für Wohngebäude
hamacher-wexel.de,"Einzelhandel mit Vorhängen, Teppichen, Fußbodenbelägen und Tapeten"
zenz-metall.de,Mechanik a. n. g.
dicks-tiefbau.de,Sonstiger Tiefbau a. n. g.
willmtrans.de,Spedition
d-k-kunststoff-folien.de,Großhandel mit chemischen Erzeugnissen
misslagotte.com,Einzelhandel mit Bekleidung
heckundgaebele.de,"Praxen von Steuerbevollmächtigten, Steuerberaterinnen und -beratern, Steuerberatungsgesellschaften"
zeller-keramik.de,Beteiligungsgesellschaften
nies-heizungsbau.de,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
mediason.de,Einzelhandel mit medizinischen und orthopädischen Artikeln
hoco.de,Großhandel mit Roh- und Schnittholz
wohntraumwerker.de,Maler- und Lackierergewerbe
autohaus-straus.de,Einzelhandel mit Waren verschiedener Art (ohne Nahrungsmittel)
elsame.de,Elektroinstallation
slomski-zahntechnik.de,Zahnarztpraxen
